year,govt_central_all_1978base,govt_nonexec_1978base,govt_minor_1978base,govt_teachers_1978base,govt_central_all_2012base,govt_central_all_2016base,pub_senior_2016base,pub_tertiary_2016base,pub_secondary_2016base,pub_primary_2016base,wageboard_all_trades_1978base,wageboard_agriculture_1978base,wageboard_industry_commerce_1978base,wageboard_services_1978base,informal_overall_2012base,informal_agriculture_2012base,informal_paddy_2012base,informal_construction_2012base,informal_industry_2012base,informal_services_2012base,informal_transport_2012base,informal_overall_2018base,informal_agriculture_2018base,informal_paddy_2018base,informal_construction_2018base,informal_industry_2018base,informal_services_2018base,informal_transport_2018base,notes,source
2002,1525.0,1410.3,1636.7,1180.1,,,,,,, 1126.5,1269.6,986.5,678.0,,,,,,,,,,,,,,,"Govt wage 2003 frozen same as 2002; Wage board 1978 Dec=100","CBSL Socio-Economic Data 2008"
2003,1525.0,1410.3,1636.7,1180.1,,,,,,,1205.2,1382.2,1009.4,678.0,,,,,,,,,,,,,,,"No change in govt wages 2002–2003","CBSL Socio-Economic Data 2008"
2004,1872.1,1709.0,2039.5,1428.4,,,,,,,1233.0,1397.7,1044.1,751.0,,,,,,,,,,,,,,,"Large govt wage increase 2004","CBSL Socio-Economic Data 2008"
2005,2417.5,2178.4,2672.4,1818.6,,,,,,,1329.7,1527.4,1078.4,779.7,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2008"
2006,3150.8,2853.8,3463.0,2304.2,,,,,,,1358.2,1567.1,1090.7,779.7,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2008"
2007,3828.4,3493.4,4172.7,2740.0,,,,,,,1648.8,1821.4,1522.4,1057.1,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2008"
2008,4116.1,3749.5,4494.7,2938.6,,,,,,,2067.4,2285.6,1877.5,1367.8,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2010"
2009,4502.9,4082.4,4943.5,3215.3,87.8,,,,,, 2171.4,2349.4,2054.0,1545.8,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2010 + 2015"
2010,,,,, 90.6,,,,,2865.3,3327.6,2199.0,1673.3,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2015"
2011,,,,, 96.7,,,,,2996.1,3427.2,2402.1,1851.8,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2015"
2012,,,,,100.0,,,,,3662.0,4433.0,2402.1,1851.8,,,,,,,,,,,,,,,,"Base year for 2012=100 index; wage board industry/services unchanged","CBSL Socio-Economic Data 2015"
2013,,,,,106.3,,,,,3869.2,4435.9,3191.6,2241.5,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2015"
2014,,,,,117.5,,,,,4012.2,4560.9,3459.1,2313.2,,,,,,,,,,,,,,,,CBSL Socio-Economic Data 2015
2015,,,,,,,,,,, 4127.0,4734.4,3459.1,2313.2,,,,,,,,,,,,,,,,"CBSL Socio-Economic Data 2020"
2016,,,,,,100.0,100.0,100.0,100.0,100.0,4127.9,4735.7,3459.1,2313.2,136.7,136.9,142.3,134.7,140.7,132.8,128.3,,,,,,,,"2016 base year for public sector index; 2012 base for informal sector","CBSL Socio-Economic Data 2020"
2017,,,,,,100.2,13.4,100.2,100.0,100.0,4128.6,4736.7,3459.1,2313.2,149.7,150.9,152.9,150.2,155.0,144.1,139.7,,,,,,,,"Note: Senior 2017 shows 13.4 likely typo for 113.4 in source","CBSL Socio-Economic Data 2020"
2018,,,,,,104.9,117.4,108.0,104.0,103.9,4155.2,4748.8,3545.3,2331.2,169.5,172.6,173.5,163.1,173.0,164.8,159.4,,,,,,,,"CBSL Socio-Economic Data 2020"
2019,,,,,,104.9,117.4,108.0,104.0,103.9,4275.5,4784.5,3796.6,2659.3,180.0,188.1,192.7,171.6,182.3,174.2,167.8,,,,,,,,"Provisional; informal index 2012-base final year","CBSL Socio-Economic Data 2020"
2020,,,,,,114.6,131.4,121.0,115.1,108.3,4282.0,4785.6,3806.2,2684.2,,,,,,,,,112.7,111.6,108.7,114.6,114.0,110.8,110.2,"Informal index rebased to 2018=100; COVID-19 year","CBSL Socio-Economic Data 2025"
2021,,,,,,114.6,131.4,121.0,115.1,108.3,7469.5,9492.0,4061.1,2845.1,,,,,,,,,123.1,118.4,115.9,127.9,127.0,119.2,117.2,"Large jump in formal agriculture wage due to estate minimum wage revision","CBSL Socio-Economic Data 2025"
2022,,,,,,133.1,141.5,141.2,135.4,123.8,8198.6,10441.7,4417.9,3070.3,,,,,,,,,153.3,151.0,152.8,156.2,155.5,150.7,151.0,"Crisis year; real wages fell sharply despite nominal increases","CBSL Socio-Economic Data 2025"
2023,,,,,,133.1,141.5,141.2,135.4,123.8,8232.9,10446.9,4585.7,3070.3,,,,,,,,,170.8,170.7,180.0,171.4,170.9,170.4,172.1,"Public sector wages frozen; informal sector ~11% increase","CBSL Socio-Economic Data 2025"
2024,,,,,,157.8,159.3,163.3,159.9,151.0,8239.7,10447.8,4619.3,3070.3,,,,,,,,,181.1,181.4,190.9,181.1,180.3,182.7,186.3,"Provisional; public sector salary increase in 2024 budget","CBSL Socio-Economic Data 2025"
